,County,area (square miles),population,employment rate (percent),income (median household income),education (bachelor's degree or higher),hispanic/latino,median age,poverty (percent),black,asian,white,hispanic/latino from total population,black from total population,asian from total population,white from total population
0,Caroline County,319.4,33293,61%,59042,19%,2820,39.3,13.30%,4434,350,24479,0.08470249001291563,0.13318114919052054,0.010512720391673926,0.7352596641936744
1,Talbot County,268.5,37526,55.60%,73102,39.70%,3352,51.0,8.50%,4249,538,28436,0.08932473485050366,0.11322816180781325,0.014336726536268187,0.7577679475563609
2,Dorchester County,540.8,32531,56.30%,52799,19.90%,1777,44.8,16.20%,9140,355,20128,0.054624819403030954,0.2809627739694445,0.010912667916756325,0.6187329009252713
3,Wicomico County,374.4,103588,57.60%,63333,29.20%,7091,35.9,13.70%,27990,3152,61425,0.0684538749662123,0.2702050430551801,0.030428234930686953,0.5929740896628953
4,Somerset County,319.7,24620,43.10%,44980,15.80%,1075,36.9,20%,9505,254,13076,0.04366368805848903,0.38606823720552397,0.010316815597075549,0.5311129163281885
5,Worcester County,468.3,52460,55%,65396,29.80%,2078,50.5,9.20%,6236,753,41845,0.03961113229126954,0.11887152115897827,0.01435379336637438,0.7976553564620663
6,Queen Anne's County,371.7,49874,63.20%,96467,36.50%,2538,44.7,6.20%,2811,589,42290,0.050888238360668886,0.056362032321450053,0.011809760596703694,0.8479368007378594
7,Kent County,277.0,19198,56.40%,60208,36.30%,1061,48.0,11%,2808,251,14574,0.05526617355974581,0.14626523596207938,0.013074278570684446,0.75914157724763
8,Cecil County,346.3,103725,56.80%,75692,26.30%,5450,41.3,12.60%,7803,1247,84806,0.05254278139310677,0.07522776572668113,0.012022174017835624,0.8176042419860208
9,Harford County,437.1,260924,65.20%,96328,37.80%,14007,39.6,7.80%,37706,8173,190128,0.05368229829375604,0.1445095123484233,0.03132329720531649,0.7286719504530055
10,Baltimore County,598.4,854535,61.70%,80453,40.40%,61492,39.9,9.80%,255793,54968,452124,0.07195960376110984,0.29933589613064415,0.06432504227445336,0.5290877494777861
11,Baltimore City,80.9,585708,57.20%,54652,37.70%,45927,36.1,23%,338478,21210,163026,0.07841279272265361,0.5778954700977279,0.036212583744801165,0.27834006023479274
12,Howard County,250.9,332317,65.10%,133267,64.60%,27362,39.9,6.40%,65275,66288,159329,0.08233704565219353,0.19642389646030747,0.1994721907094732,0.4794488395116711
13,Anne Arundel County,414.8,588261,62.70%,107823,43.10%,56796,38.4,5.80%,104473,25504,377634,0.09654898080953862,0.17759633903998395,0.04335490539063443,0.641949746796065
14,Calvert County,213.2,92783,63.20%,122266,34.40%,4202,40.5,4.90%,12100,1581,69935,0.04528846879277454,0.13041182113102615,0.017039759438690277,0.7537479926279599
15,St. Mary's County,358.6,113777,61.50%,108397,36%,6545,37.2,7.30%,16294,3362,81952,0.05752480729848739,0.14320996334935884,0.02954903012032309,0.7202861738312665
16,Charles County,457.8,166617,62.90%,105493,33.10%,11677,39.0,5.40%,82035,5706,58587,0.0700828846996405,0.49235672230324634,0.03424620536920002,0.351626784781865
17,Prince George's County,482.7,967201,62.40%,90182,34.80%,205463,38.4,11.50%,578703,41875,124863,0.21243050823975576,0.5983275451534893,0.0432950338140676,0.1290972610656937
18,Montgomery County,493.0,1062061,64.90%,112854,60.90%,217409,40.0,8.60%,197077,163507,457783,0.20470481450688802,0.18556090469379818,0.15395255074802672,0.43103268079705404
19,Carroll County,447.6,172891,65.40%,102476,39.90%,7745,41.3,4.70%,6482,3775,148621,0.04479701083341527,0.037491830112614304,0.021834566287429653,0.8596225367428033
20,Frederick County,660.4,271717,65.80%,104780,44.90%,32119,38.8,6.80%,27802,13570,189470,0.11820754682261324,0.10231969291579106,0.04994166724938079,0.6973063886322902
21,Washington County,457.8,154705,53.10%,65367,22.50%,10289,40.7,16.90%,17691,3109,117465,0.06650722342522866,0.11435312368701722,0.020096312336382146,0.7592837981965677
22,Allegany County,422.1,68106,46.40%,48888,21.80%,1149,41.3,14.50%,5341,742,58377,0.016870760285437405,0.07842187178809502,0.010894781663876897,0.8571491498546383
23,Garrett County,649.1,28806,56.60%,54542,23.50%,321,46.8,10.60%,246,85,27521,0.011143511768381588,0.008539887523432618,0.002950774144275498,0.955391237936541
